tweet_id	retweet_count	favorite_count
892420643555336193	8443	38416
892177421306343426	6220	32908
891815181378084864	4120	24797
891689557279858688	8573	41765
891327558926688256	9300	39922
891087950875897856	3085	20041
890971913173991426	2050	11726
890729181411237888	18736	64873
890609185150312448	4230	27552
890240255349198849	7336	31615
890006608113172480	7275	30377
889880896479866881	4933	27521
889665388333682689	9977	47673
889638837579907072	4498	26906
889531135344209921	2220	14953
889278841981685760	5370	25061
888917238123831296	4462	28823
888804989199671297	4284	25350
888554962724278272	3545	19689
888078434458587136	3468	21554
887705289381826560	5339	29879
887517139158093824	11576	45834
887473957103951883	18040	68465
887343217045368832	10312	33364
887101392804085760	5917	30260
886983233522544640	7709	34847
886736880519319552	3266	11944
886680336477933568	4426	22216
886366144734445568	3174	20997
886267009285017600	4	116
886258384151887873	6227	27729
886054160059072513	104	0
885984800019947520	6754	32387
885528943205470208	6375	35638
885518971528720385	3727	20232
885311592912609280	18456	0
885167619883638784	4347	21734
884925521741709313	18290	76791
884876753390489601	5741	27670
884562892145688576	4832	24077
884441805382717440	5606	26746
884247878851493888	20301	72364
884162670584377345	2962	20189
883838122936631299	3419	21710
883482846933004288	9894	45524
883360690899218434	3649	22364
883117836046086144	6626	36850
882992080364220416	3891	23746
882762694511734784	4885	28048
882627270321602560	6047	27663
882268110199369728	11506	44564
882045870035918850	4939	29080
881906580714921986	3377	24087
881666595344535552	10590	50086
881633300179243008	7	125
881536004380872706	15850	49018
881268444196462592	5122	22871
880935762899988482	2764	16870
880872448815771648	3790	21106
880465832366813184	6248	28285
880221127280381952	4193	26816
880095782870896641	4334	27386
879862464715927552	3480	22133
879674319642796034	10	311
879492040517615616	3166	23222
879415818425184262	43933	104973
879376492567855104	3102	16624
879130579576475649	6803	0
879050749262655488	4696	22394
879008229531029506	2675	18816
878776093423087618	4110	19247
878604707211726852	7171	30015
878404777348136964	1283	0
878316110768087041	6625	0
878281511006478336	1283	7681
878057613040115712	6803	41684
877736472329191424	19016	79205
877611172832227328	80	0
877556246731214848	3798	22548
877316821321428993	5151	27133
877201837425926144	5563	26885
876838120628539392	3339	20503
876537666061221889	4607	23294
876484053909872640	2389	18615
876120275196170240	4673	27686
875747767867523072	4279	25006
875144289856114688	4914	21754
875097192612077568	6027	27221
875021211251597312	4702	25278
874680097055178752	4642	27627
874434818259525634	14733	0
874296783580663808	4108	25890
874057562936811520	3952	22494
874012996292530176	10442	34401
873580283840344065	3950	24072
873337748698140672	1590	0
873213775632977920	1590	7199
872967104147763200	5409	27220
872820683541237760	3702	14643
872620804844003328	3709	20674
872486979161796608	9027	40471
872261713294495745	6348	34049
872122724285648897	8143	34304
871879754684805121	11243	37878
871762521631449091	3492	20205
871515927908634625	3472	20143
871166179821445120	5732	0
871102520638267392	5533	20874
871032628920680449	3837	22595
870804317367881728	6245	33556
870726314365509632	3	119
870656317836468226	2670	12402
870374049280663552	26413	82601
870308999962521604	4191	21806
870063196459192321	8438	36679
869772420881756160	10126	42409
869702957897576449	6399	28256
869596645499047938	3162	15983
869227993411051520	3832	20458
868880397819494401	14696	65797
868639477480148993	2127	0
868622495443632128	5859	27286
868552278524837888	2127	10177
867900495410671616	4229	24267
867774946302451713	7452	34144
867421006826221569	2555	16201
867072653475098625	128	0
867051520902168576	8006	32426
866720684873056260	4898	20211
866686824827068416	3545	19456
866450705531457537	35906	123092
866334964761202691	14733	52987
866094527597207552	8533	0
865718153858494464	5719	25812
865359393868664832	5099	26704
865006731092295680	7843	28267
864873206498414592	8911	32584
864279568663928832	3104	14764
864197398364647424	9150	30459
863907417377173506	4231	20841
863553081350529029	4265	15461
863471782782697472	2522	0
863432100342583297	5389	24084
863427515083354112	99	2291
863079547188785154	1124	8867
863062471531167744	2522	8640
862831371563274240	5207	19412
862722525377298433	3619	17282
862457590147678208	5081	20799
862096992088072192	23928	75595
861383897657036800	10990	36561
861288531465048066	4279	17436
861005113778896900	3912	16961
860981674716409858	2221	0
860924035999428608	844	0
860563773140209665	2221	7616
860524505164394496	5429	23986
860276583193509888	3575	18572
860184849394610176	6002	16953
860177593139703809	31814	0
859924526012018688	4224	19861
859851578198683649	3620	15656
859607811541651456	1621	18909
859196978902773760	31216	91598
859074603037188101	14044	34495
858860390427611136	8419	0
858843525470990336	3590	15815
858471635011153920	5014	21909
858107933456039936	3020	16037
857989990357356544	2677	16429
857746408056729600	11018	34975
857393404942143489	1704	6038
857263160327368704	4697	20441
857214891891077121	18	234
857062103051644929	178	0
857029823797047296	4160	19344
856602993587888130	11124	0
856543823941562368	2996	16636
856526610513747968	1953	12099
856330835276025856	706	0
856288084350160898	17	527
856282028240666624	6583	28363
855862651834028034	28	355
855860136149123072	1075	5167
855857698524602368	2206	12124
855851453814013952	18484	46512
855818117272018944	5667	27252
855459453768019968	8597	30714
855245323840757760	6253	0
855138241867124737	48	0
854732716440526848	6401	23486
854482394044301312	7209	30159
854365224396361728	4923	19453
854120357044912130	7878	32912
854010172552949760	3309	16685
853760880890318849	6102	29489
853639147608842240	10682	35998
853299958564483072	3750	16036
852936405516943360	2125	0
852912242202992640	1941	9360
852672615818899456	2273	15433
852553447878664193	3716	16950
852311364735569921	10467	34311
852226086759018497	7207	20732
852189679701164033	1674	11876
851953902622658560	10209	0
851861385021730816	23	0
851591660324737024	3676	16806
851464819735769094	7507	25198
851224888060895234	6070	21476
850753642995093505	9861	32253
850380195714523136	2779	13577
850333567704068097	356	3564
850145622816686080	4067	16978
850019790995546112	5207	21277
849776966551130114	8090	31711
849668094696017920	5280	0
849412302885593088	3343	16529
849336543269576704	2009	11914
849051919805034497	9082	44296
848690551926992896	4601	26303
848324959059550208	4909	25844
848213670039564288	798	8526
848212111729840128	3289	17050
847978865427394560	3472	0
847971574464610304	461	0
847962785489326080	5450	24546
847842811428974592	1435	5725
847617282490613760	451	7323
847606175596138505	3618	19613
847251039262605312	4590	21390
847157206088847362	6274	20902
847116187444137987	3410	22417
846874817362120707	4194	21032
846514051647705089	12457	46775
846505985330044928	3317	14811
846153765933735936	9719	33220
846139713627017216	10572	32341
846042936437604353	3097	16760
845812042753855489	9392	30740
845677943972139009	5129	26321
845397057150107648	1950	8004
845306882940190720	5797	24474
845098359547420673	8241	0
844979544864018432	2776	14312
844973813909606400	3453	15871
844704788403113984	11124	40672
844580511645339650	3380	17309
844223788422217728	2364	14320
843981021012017153	3143	15882
843856843873095681	4979	22499
843604394117681152	2960	17745
843235543001513987	6524	22595
842846295480000512	3866	16001
842765311967449089	1372	7103
842535590457499648	3775	19044
842163532590374912	6253	25766
842115215311396866	3264	14754
841833993020538882	16602	0
841680585030541313	8354	26980
841439858740625411	3961	13305
841320156043304961	5858	20808
841314665196081154	5072	16691
841077006473256960	5732	24141
840761248237133825	1897	0
840728873075638272	17523	0
840698636975636481	2	190
840696689258311684	1065	12970
840632337062862849	1897	9463
840370681858686976	4924	17366
840268004936019968	6196	20345
839990271299457024	2484	14174
839549326359670784	8419	29065
839290600511926273	154	0
839239871831150596	7098	28725
838952994649550848	4310	20719
838921590096166913	2247	11801
838916489579200512	36	0
838831947270979586	12000	0
838561493054533637	1433	11539
838476387338051585	5225	23897
838201503651401729	10968	0
838150277551247360	356	1776
838085839343206401	0	147
838083903487373313	3417	18649
837820167694528512	8533	36173
837482249356513284	480	4059
837471256429613056	2496	13531
837366284874571778	5747	22361
837110210464448512	2601	16954
836989968035819520	2488	13482
836753516572119041	5017	20366
836677758902222849	2416	13354
836648853927522308	600	0
836397794269200385	30032	0
836380477523124226	3207	15591
836260088725786625	4664	22507
836001077879255040	4675	20251
835685285446955009	8891	0
835574547218894849	3944	18863
835536468978302976	1851	0
835309094223372289	22894	0
835297930240217089	3249	17379
835264098648616962	1851	8227
835246439529840640	78	2212
835172783151792128	6254	27704
835152434251116546	3289	23822
834931633769889797	1796	11491
834786237630337024	5956	22409
834574053763584002	2760	14522
834477809192075265	11628	0
834458053273591808	1822	10206
834209720923721728	5224	21870
834167344700198914	3953	16701
834089966724603904	2321	10662
834086379323871233	2413	13857
833863086058651648	2622	14233
833826103416520705	3749	16281
